,Temuco,Lautaro,Curacautin,Perquenco,Galvarino,Victoria
Temuco,0.0,26.838964382757208,69.73504854661277,40.10701621694058,39.376943739067364,60.1487931401488
Lautaro,26.838964382757208,0.0,48.46942404744489,13.385666230467619,32.82283256807439,33.97220287343609
Curacautin,69.73504854661277,48.46942404744489,0.0,42.39990612698974,77.56689356990331,45.08409931956406
Perquenco,40.10701621694058,13.385666230467619,42.39990612698974,0.0,35.17836492175013,20.787083040903738
Galvarino,39.376943739067364,32.82283256807439,77.56689356990331,35.17836492175013,0.0,43.39573898971556
Victoria,60.1487931401488,33.97220287343609,45.08409931956406,20.787083040903738,43.39573898971556,0.0
